Name,Specialty,Location,Education,Residency,Board Certification
"Aviral Vij, MD, FACC",Cardiology,Cook County Department of Public Health,J.N.M.C. India,Internal Medicine at John H. Stroger Jr. Hospital of Cook County,"Internal Medicine, Cardiovascular Diseases, Interventional Cardiology, Nuclear Cardiology, Echocardiography"
Olga Vinokur,Vascular & Interventional Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",Rush Medical College,Rush University Medical Center,American Board of Radiology
Daniel W. Vittum,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Michael S. Wahl,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Karin A. Warden-Thomas,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Melanie R Watson,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Melanie Watson-Montgomery,Dentistry,Cook County Jail Health Services,Meharry Medical College School of Dentistry,nil,"American College of Dentists, Academy of Dentistry International,International College of Dentists"
Tabitha A. Watts,Pediatric Emergency Medicine,"John H. Stroger, Jr. Hospital",Case Western Reserve University,"John H. Stroger Jr, Hospital",Pediatrics
Brian Waxler,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Julie S. Wecsler,Surgery,"John H. Stroger, Jr. Hospital","University of Southern California, Keck School of Medicine","University of Southern California, Keck School of Medicine",American Board of Surgery
Sandra J. Weiland,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
Robert A. Weinstein,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Brittany E. Wilkins,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Brett B. Williams,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Joel C. Williams,Orthopaedic Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sunita B. Williamson,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Willa L. Williamson,Adult Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Deborah L. Wolen,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Richard C. Wolfinger,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,NCCPA
Sarah Yang Won,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ka-Hing Wong,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
LaDonna D. Wright,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Aisha Wright,Family Medicine,"John H. Stroger, Jr. Hospital",Southern Illinois University School of Medicine,nil,nil
Igor Wroblewski,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Laura D. Wyatt,Physician Assistant,Provident Hospital,nil,nil,nil
Rita Wyrebek,Pediatrics,"John H. Stroger, Jr. Hospital",nil,nil,nil
Robert W. Wysocki,Orthopaedic Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Hanna Xu,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Neha Yadav,Cardiovascular Disease,"John H. Stroger, Jr. Hospital, Provident Hospital","Bangalore Medical College, India.",John H Stroger Hospital of Cook County,Internal medicine; Cardiology; Interventional Cardiology; Echocardiography; Nuclear Cardiology
Naser Yamani,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Yan K. Yu,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Frank Yurasek,Acupuncture,"John H. Stroger, Jr. Hospital",Midwest College of Oriental Medicine/Guang Zhou University of Traditional Chinese Medicine,Acupuncture - Guangzhou University of Traditional Medicine,nil
Rubina Syeda Zahedi,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Jill S. Zaveri,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",Saint Louis University School of Medicine,Rush University Medical Center,Ophthalmology
Maryam Fatima Zia,Hematology,"John H. Stroger, Jr. Hospital",University of Missouri School of Medicine,University of Illinois at Chicago,"Internal Medicine, Medical Oncology, Hematology"
Michael C. Giovingo,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois College of Medicine at Rockford,"John H. Stroger, Jr. Hospital of Cook County",nil
Ramez I. Haddadin,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",Harvard Medical School,"Harvard Medical School, Massachusetts Eye and Ear",nil
Keiki Hinami,Internal Medicine,"John H. Stroger, Jr. Hospital",State University of New York at Stony Brook,University of Chicago,Internal Medicine
Brian P. Larsen,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital","Chicago Medical School, Rosalind Franklin University of Medicine and Science",Rush University Medical Center,American Board of Ophthalmology
Patricia B. Raksin,Neurosurgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Kenya M. Williams,Ophthalmology,"John H. Stroger, Jr. Hospital","Rosalind Franklin University of Medicine and Science, Chicago Medical School",SUNY Downstate Medical Center,Ophthalmology
Titilayo Colette Abiona,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Mohamed K. Adenwalla,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",Chicago Medical School,Cook County Hospital,Ophthalology
Jorelle Alexander,Dentistry,"John H. Stroger, Jr. Hospital",University of Louisville,Rush University Medical Center,nil
Azzam Alkhudari,Pain Management,"John H. Stroger, Jr. Hospital","Aleppo University, Syria",Anesthesiology - Illinois Masonic Medical Center,American Board of Anesthesiology
Awais Azmat,Family Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Swati S. Bhobe,Pediatrics,"John H. Stroger, Jr. Hospital",nil,nil,nil
Dipti Sudhakar Dighe,Pediatric Hematology-Oncology,"John H. Stroger, Jr. Hospital, Provident Hospital","Amaravati University, India","John H. Stroger, Jr. Hospital of Cook County",Pediatrics
Surendar Dwarakanathan,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital","Albany Medical College, Albany, NY",Cook County Hospital,nil
Yolanda R. Escalona,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Reena Ghode,Neurology,"John H. Stroger, Jr. Hospital, Provident Hospital","Rush University Medical College, Chicago, Illinois","Neurology, Rush University Medical Center, Chicago, Illinois",Certified
David M. Greenberg,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois,Cook County Hospital,Ophthalmology
Regina Hall-Ngorima,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Aseel A. Hanna,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sybil G. Hosek,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Anwer M. Hussain,Emergency Medicine,Provident Hospital,Midwestern University,Emergency Medicine/Internal Medicine,Emergency Medicine
Shivani Kamdar,Family Medicine,"John H. Stroger, Jr. Hospital",Midwestern University,Advocate Illinois Masonic,American Board of Family Medicine
Ratna P. Kanumury,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Julie A. Laverdiere,Oral and Maxillofacial,"John H. Stroger, Jr. Hospital",University of Illinois,University of Illinois,The American Board of Oral and Maxillofacial Surgery
Deepak Leekha,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Whitney Nicole Lyn,Family Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois at Chicago,"Cook County and Provident Hospitals, and Loyola University Medical Center",Family Medicine
Ajaydas T Manikkan,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Nevenka Maric,Internal Medicine,"John H. Stroger, Jr. Hospital","University of Belgrade, Serbia","John H. Stroger, Jr. Hospital of Cook County",American Board of Internal Medicine
Jacqueline H. Marshall,Pediatrics,"John H. Stroger, Jr. Hospital",nil,nil,nil
Annamma John Mathew,Adult Psychiatric&Mental Health NP,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sharon Matlock,Certified Nurse Midwife,"John H. Stroger, Jr. Hospital",nil,nil,nil
Dianna J. McBride,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Theresa M. McCarthy,Physical Medicine & Rehabilitation,"John H. Stroger, Jr. Hospital",nil,nil,nil
Amy M. Melvin,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital, Provident Hospital","University of Illinois at Chicago, College of Nursing",nil,"AANP, APN, NP-C"
Reshma F. Mohiuddin,Internal Medicine,"John H. Stroger, Jr. Hospital",Michigan State University,"Cook County Hospital, Rush University Medical Center",American Board of Internal Medicine
Linda Rae Murray,Family Medicine,Community Clinics ACHN,nil,nil,nil
Jeffrey W. Nichols,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital","University of Illinois, College of Medicine",Cook County Hospital,Ophthalmology
Manisha J Ogale,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Mildred MG Olivier,Ophthalmology,"John H. Stroger, Jr. Hospital","Rosalind Franklin University of Medicine and Science, Chicago Medical School",nil,Ophthalmology
Temitope O. Oyedele,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital","Albany Medical College, Albany, NY",Rush University Medical Center,"Internal Medicine, Pediatrics, Infectious Diseases"
George S Panos,Oral and Maxillofacial,"John H. Stroger, Jr. Hospital",University of Illinois College of Medicine,Cook County Hospital,"Nerb, Aboms"
Gregory Papiez,Internal Medicine,Community Clinics ACHN,nil,nil,nil
Krzysztof Pierko,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital","Medical University of Bialystok, Poland","John H. Stroger, Jr. Hospital of Cook County",American Board of Internal Medicine
Thomas L. Pitts,Endocrinology & Metabolism,Provident Hospital,nil,nil,nil
Asad Rafiq,"Gastroenterology, Hepatology","John H. Stroger, Jr. Hospital, Provident Hospital",Deccan College of Medical Sciences,"John H. Stroger, Jr. Hospital of Cook County",Internal Medicine and Gastroenterology
Abed Rahman,Anesthesiology,"John H. Stroger, Jr. Hospital",Saba University Medical School - Netherlands Antilles,Anesthesiology - John H. Stroger Jr. Hospital of Cook County,American Board of Anesthesiology
Oscar Arturo Rivas Chicas,Gastroenterology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Lubov F. Romantseva,Child Neurology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Alisa T.L. Seo-Lee,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sejal Shah,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Abha Sharma,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,American Board of Family Medicine
Ann M. Sikora-Jackson,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,NCCPA
Grazyna J. Siwy,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Andrea N. Ward,Psychiatry,"John H. Stroger, Jr. Hospital","University of Illinois, College of Medicine",University of Illinois,Psychiatry
Priscilla Ware,Family Medicine,"Community Clinics ACHN, Englewood Health Center",St. Matthew's University,Cook County Loyola-Provident Family Medicine Program,Board Eligible
Phillip Ka-Hing Wong,Family Medicine,John Sengstacke Health Center,University of Hong Kong,Cook County Family Practice Residency Program,American Board of Family Medicine
Herand Abcarian,Colon & Rectal Surgery,"John H. Stroger, Jr. Hospital",Faculty of Medicine University of Teheran,"Colon and Rectal Surgery Residency, Cook County Hospital",nil
Ra-id M. Abdulla,Pediatric Cardiology,"John H. Stroger, Jr. Hospital",Baghdad University Medical College,"St. Joseph's Medical Center, Phoenix, Arizona","Pediatrics, Pediatric Cardiology"
Homer De Guia Abiad,Infectious Diseases,"John H. Stroger, Jr. Hospital",University of the Philippines,Medical Center of Central Massachusetts,"Infectious Diseases, Internal Medicine"
Mohan C Abraham,Nephrology,"John H. Stroger, Jr. Hospital, Provident Hospital","Mahatma Gandhi University, Kerala, India","John H. Stroger, Jr. Hospital of Cook County, Chicago, IL","Internal Medicine, Nephrology"
Frida P. Abrahamian,Gastroenterology,"John H. Stroger, Jr. Hospital",Ohio State University,"Chicago Medical School/Saint Joseph's Hospital, Chicago, IL","Internal Medicine, Gastroenterology"
Fidel Abrego,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Iowa,University of Illinois at Chicago,Obstetrics & Gynecology
Christine Acob,Internal Medicine,"John H. Stroger, Jr. Hospital",University of Santo Tomas,University of Santo Tomas,Internal Medicine
Linda J. Adkins,Optometry,"John H. Stroger, Jr. Hospital","Pennsylvania College of Optmetry, Salus University",nil,nil
Vishwanath Agrawal,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",Maulana Azad Medical College,Medical College of Pennsylvania,"Pediatrics, Neonatology"
Fazal Ahmed,Psychiatry,"John H. Stroger, Jr. Hospital, Provident Hospital",Allama Iqbal Medical College,nil,nil
Wasay Uddin Ahmed,Internal Medicine,"John H. Stroger, Jr. Hospital",Gandhi Medical College,nil,nil
Abayomi E. Akintorin,Anesthesiology,"John H. Stroger, Jr. Hospital","University of Lagos College of Medicine, Lagos, Nigeria","Cook County Hospital, Pediatrics and Anesthesiology",American Board of Anesthesiology
Steven E. Aks,Toxicology,"John H. Stroger, Jr. Hospital",The New York College of Osteopathic Medicine,The Chicago College of Osteopathic Medicine,"Emergency Medicine, 2001, Medical Toxicology, 2001"
Piotr C Al-Jindi,Anesthesiology,"John H. Stroger, Jr. Hospital",Jagelonian University,"John H. Stroger, Jr. Hospital, Anesthesiology",American Board of Anesthesiology
Victoria M. Alagiozian-Angelova,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital","Medical University of Plovdiv, Bulgaria",AP/CP - University of Illinois at Chicago,Anatomic and Clinical Pathology; Hematology-Pathology
Joerg Albrecht,Dermatology,"John H. Stroger, Jr. Hospital","Technical University of Rhineland and Westfalen (RWTH), Aachen, Germany; University of the Witswatersrand, Johannesburg, RSA","Dermatology and Internal Medicine Residency, John H. Stroger, Jr. Hospital of Cook County, Chicago, IL; Internship in Internal Medicine, Lankenau Hospital, Wynnewood, PA; Clinical Pharmacology Residency, Henrich Heine University, Dusseldorf, Germany","Dermatology, Internal Medicine, Clinical Pharmacology"
Bozana Alexander,Anesthesiology,"John H. Stroger, Jr. Hospital",Medincinski Pakultet Univerziteta u Tuzli,"John H. Stroger, Jr. Hospital, Anesthesiology",American Board of Anesthesiology
Paul J. Allegretti,Emergency Medicine,Provident Hospital,Chicago College of Osteopathic Medicine,Chicago College of Osteopathic Medicine,Emergency Medicine
Karla Anderson,Psychology,"John H. Stroger, Jr. Hospital",Chicago School of Professional Psychology,nil,nil
Susan J Anderson-Nelson,Ophthalmology,"John H. Stroger, Jr. Hospital",Rush Medical College of Rush University,Northwestern,Ophthalmology
Michael A. Apushkin,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",St. Petersburg State IP Pavlov Med University,John H. Stroger Jr. Hospital of Cook County,nil
Rosibell D. Arcia-Diaz,Pediatrics,"John H. Stroger, Jr. Hospital",University of Panama,John H. Stronger Jr. Hospital of Cook County,Pediatrics
Mary E. Arlandson,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital",Des Moines University,nil,nil
Bashar M. Attar,Gastroenterology,"John H. Stroger, Jr. Hospital, Provident Hospital","Northwestern University, Harvard University, University of Illinois",Cook County Health & Hospitals,"American Board of Internal Medicine, Subspecialty Board of Gastroenterology, Subspecialty Board of Geriatric Medicine, and Subspecialty Board of Transplant Hepatology"
Mary Jo Atten,"Gastroenterology, Hepatology, Internal Medicine","John H. Stroger, Jr. Hospital","University of Illinois, Chicago, IL","Baylor College of Medicine, Houston, TX","Internal Medicine, Gastroenterology"
Sheila M. Badri,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",Rush Medical College,Rush University Medical Center,Infectious Diseases and Internal Medicine
Lorraine Y Bangayan,Cardiovascular Disease,"John H. Stroger, Jr. Hospital",University of the Philippines,Medical Center of Central Massachusetts,nil
David E. Barker,Infectious Diseases,"John H. Stroger, Jr. Hospital","University of Illinois College of Medicine - MD, University of Illinois School of Public Health - MPH",Northwestern Memorial Hospital,"American Board of Internal Medicine certification in Infectious Diseases, and Internal Medicine"
Traci P. Beck,Urology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Pittsburgh School of Medicine,nil,nil
Camille L. Billingslea,Family Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Rush Medical College,Northwestern University,American Board of Family Medicine
Faran Bokhari,Trauma & Burns,"John H. Stroger, Jr. Hospital",Case Western Reserve,University of Illinois Chicago,General Surgery and Surgical Critical Care
Steven R. Bonomo,Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital",Albert Einstein College of Medicine of Yeshiva University,nil,nil
Michiel J. Bove,Otolaryngology,"John H. Stroger, Jr. Hospital",Albert Einstein Medical School,University of Pittsburgh,nil
Manish D. Brahmbhatt,Internal Medicine,"John H. Stroger, Jr. Hospital",B. J. Medical College,nil,nil
Richard T. Brannegan,Neurology,"John H. Stroger, Jr. Hospital, Provident Hospital","MD, Loyola University Medical School, Maywood, Ill.","Neurology, Loyola University Hospitals, Maywood, Ill.",Certified
Joy E. Bressler,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sean M. Bryant,Emergency Medicine,"John H. Stroger, Jr. Hospital",Wright State University School of Medicine,Wright State University,"Emergency Medicine, 2004"
Ionut C. Bugeag,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of De Med Si Farm,John H. Stroger Jr. Hospital of Cook County,nil
Colleen M. Buhrfiend,Child Neurology,"John H. Stroger, Jr. Hospital",Rush University Medical Center,"Rush University Medical Center, Pediatrics",nil
Winston F. Burke,Podiatry,"John H. Stroger, Jr. Hospital, Provident Hospital",Scholl College of Podiatry,nil,nil
Helen Cejtin,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois,nil,Yes
Austen-Kum Chai,Emergency Medicine,"John H. Stroger, Jr. Hospital",University of Illinois College of Medicine,Cook County Hospital,Emergency Medicine
William D. Clapp,Pulmonary Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Minnesota Medical School,University of Wisconsin Hospitals and Clinics,"Internal Medicine, Pulmonary, Critical Care"
David B. Conley,Otolaryngology,"John H. Stroger, Jr. Hospital",University of Chicago,Northwestern University,nil
Denise R Cunill,Pediatrics,"John H. Stroger, Jr. Hospital, Logan Square Health Center",George Washington University School of Medicine,"John H. Stroger, Jr. Hospital of Cook County",Pediatrics
Swati S Datta,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Chicago College of Osteopathic Medicine,nil,nil
Richard J. David,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Michael J. Davidovich,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Vanessa Davis,Pediatric Endocrinology,"John H. Stroger, Jr. Hospital","University of the West Indies, Jamaica",Cook County Hospital,"Pediatrics, Pediatric Endocrinology"
Salim J. Dawalibi,Family Medicine,"John H. Stroger, Jr. Hospital",nil,Cook County-Loyola-Provident Family Medicine Residency Program,American Board of Family Medicine
Catherine D. Deamant,Hospice & Palliative Medicine,"John H. Stroger, Jr. Hospital",Rush Medical College of Rush University,nil,nil
Patricia L. DeMarais,Infectious Diseases,"John H. Stroger, Jr. Hospital",Wayne State University Medical School,Medical College of Wisconsin,Infectious Disease
Melchor V. Demetria,Gastroenterology,"John H. Stroger, Jr. Hospital","University of Santo Tomas, Manila, Philippines","Cook County Health and Hospitals System, Chicago, IL","Gastroenterology,Transplant Hepatology"
Andrew J. Dennis,Surgery,"John H. Stroger, Jr. Hospital","University of Health Sciences, College of Osteopathic Medicine",Midwestern University Chicago College of Osteopathic Medicine Affiliated Hospitals,General Surgery/Surgical Critical Care
Elia M. Disavino,Neurology,"John H. Stroger, Jr. Hospital","MD, Northwestern University Medical School, Chicago, Ill.","Neurology, Rush University Medical Center, Chicago, Ill.",Certified
Kimberly Frances Dixon,Internal Medicine,"John H. Stroger, Jr. Hospital","University of California, San Francisco",nil,nil
Debbie A. Donelson,Family Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital","Finch University of Health Sciences, Chicago Medical School",Cook County Family Medicine Residency Program,American Board of Family Medicine
James Dorman,Neurology,"John H. Stroger, Jr. Hospital, Provident Hospital",Rush Medical College,Rush University Medical Center,"Neurology, Vascular Neurology, Electrodiagnostic Medicine"
"Rami Doukky, MD, MSc",Cardiology,"John H. Stroger, Jr. Hospital, Provident Hospital","Aleppo University School of Medicine – MD, Rush University – MSc in Clinical Research, University of Tennessee - Knoxville – MBA",Cook County Hospital,"Cardiovascular Medicine, Echocardiography, Nuclear Cardiology, Cardiac CT"
Philip B. Dray,Ophthalmology,"John H. Stroger, Jr. Hospital","Rosalind Franklin Univ of Medicine and Science, Chicago Medical School",Cook County Hospital,ABO
Gerard L. Dysico,Physical Medicine & Rehabilitation,"John H. Stroger, Jr. Hospital",Rush University,nil,nil
Charles Edoigiawerie,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Osbert O. Egiebor,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Ibadan,John H. Stroger Jr. Hospital of Cook County,nil
Peter J. Egofske,Vascular & Interventional Radiology,"John H. Stroger, Jr. Hospital",Rush Medical College of Rush University,John H. Stroger Jr. Hospital of Cook County,nil
Michael Escoto,Emergency Medicine,Provident Hospital,"Nova Southeastern University, College of Osteopathic Medicine",nil,nil
Chukwudozie O. Ezeokoli,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Ibadan,nil,nil
Sherene S. Fakhran,Pulmonary and Critical Care Medicin,"John H. Stroger, Jr. Hospital, Provident Hospital",Northwestern University Feinberg School of Medicine,Northwestern University,"Internal Medicine, Pulmonary, Critical Care"
Claudia M. Fegan,Internal Medicine,"John H. Stroger, Jr. Hospital",University of Illinois College of Medicine at Chicago,nil,nil
Robert J. Feldman,Emergency Medicine,"John H. Stroger, Jr. Hospital","University of California, San Francisco, CA",Highland General Hospital,"Emergency Medicine, 2007"
Jerry Feldman,Dermatology,"John H. Stroger, Jr. Hospital",University of Illinois at Chicago,University of New Mexico,Dermatology
Chun Feng,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",Northwestern University Feinberg School of Medicine,Northwestern University Feinberg School of Medicine,American Board of Radiology
Karen Ferrer,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital",University of the Philippines,"University of Illinois at Chicago, AP/CP","Anatomic & Clinical Pathology (AP/CP), Cytopathology"
Gail Y. Floyd,Family Medicine,"John H. Stroger, Jr. Hospital","Tufts University School of Medicine, Boston, MA",Cook County Family Practice Residency Program,American Board of Family Medicine
Leon A. Fogelfeld,Endocrinology & Metabolism,"John H. Stroger, Jr. Hospital, Provident Hospital","Univeristy of Milan, Italy, School of Medicine","Assaf Harofeh Hospital, Israel","American Board of Internal Medicine and Endocrinology, Diabetes & Metabolism"
Carlo D. Franco,Anesthesiology,"John H. Stroger, Jr. Hospital","Universidad de Valparaiso, Chile",Sinai Hospital of Detroit,American Board of Anesthesiology
Audrey L. French,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Maryland,University of Vermont,ABIM Internal Medicine and Infectious Diseases
Harold Fuentes,Psychology,"John H. Stroger, Jr. Hospital",Argosy University,nil,nil
Marjorie R. Fujara,Child Abuse,"John H. Stroger, Jr. Hospital",University of Illinois College of Medicine,University of Minnesota,American Board of Pediatrics
Yogesh N. Gandhi,Neurosurgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Justin Kidd Gandia,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital, Provident Hospital",Brooklyn Health Science Center,nil,Yes
Pamela S. Ganschow,Internal Medicine,"John H. Stroger, Jr. Hospital","University of Cincinnati, College of Medicine",nil,nil
Ramsis F. Ghaly,Anesthesiology,"John H. Stroger, Jr. Hospital","Ain Shams University, Egypt","John H. Stroger, Jr Hospital, Cook County Hospital",American Board of Anesthesiology
Feodor J. Gloss,Anesthesiology,"John H. Stroger, Jr. Hospital",Michigan State University College of Osteopathic Medicine,Anesthesiology - John H. Stroger Jr. Hospital of Cook County,American Board of Anesthesiology
Benjamin Tan Go,Gastroenterology,"John H. Stroger, Jr. Hospital","Cebu Institute of Medicine, Cebu City, Philippines","Cook County Health and Hospitals System, Chicago, IL","Internal Medicine, Gastroenterology"
Yasmeen Golzar,Cardiology,"John H. Stroger, Jr. Hospital, Ruth M. Rothstein CORE Center",Rush Medical College,"Internal Medicine, Rush University Medical Center","Cardiovascular Medicine, Internal Medicine, Echocardiography, Nuclear Cardiology and Cardiac Computed Tomography"
Mark A. Grevious,Plastic Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Medicine-Dentistry of New Jersey Hospital,nil,nil
Renaud Gueret,Pulmonary Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital","University of Zurick, Switzerland",Maricopa County Hospital,"Internal Medicine, Pulmonary, Critical Care, Sleep Medicine"
Yannis S. Guerra,Endocrinology & Metabolism,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Panama School of Medicine,Cook County Hospital,"American Board of Internal Medicine and Endocrinology, Diabetes & Metabolism"
Pilar Guerrero,Emergency Medicine,"John H. Stroger, Jr. Hospital",University of Michigan Medical School,Kings County Hospital Center,"Emergency Medicine, 2003"
Indira S. Hadley,Rheumatology,"John H. Stroger, Jr. Hospital",University of Mississippi School of Medicine,Rush University Medical Center,"Rheumatology, Internal Medicine"
Valerie Hansbrough,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois College of Medicine at Chicago,nil,nil
Ioana C. Haratau,Internal Medicine,"John H. Stroger, Jr. Hospital",Carol Davila University of Medicine and Pharmacy,nil,nil
Peter D. Hart,Nephrology,"John H. Stroger, Jr. Hospital","College of Medicine, University of Lagos, Nigeria","Cook County Hospital, Chicago","ABIM - Internal Medicine, Nephrology"
Jafar S. Hasan,Plastic Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Michigan Medical School,nil,nil
Tarlan Hedayati,Emergency Medicine,"John H. Stroger, Jr. Hospital",University of Illinois at Chicago,Los Angeles County / University of Southern California,Emergency Medicine
Lisa M. Henry-Reid,Adolescent Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Peter T. Heydemann,Child Neurology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Courtney M.P. Hollowell,Urology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois at Chicago Medical Center,University of Chicago,American Board of Urology
Mohammad Hosseinian,Anesthesiology,"John H. Stroger, Jr. Hospital, Provident Hospital","Tabriz Medical University, Iran",John H. Stroger Jr. Hospital of Cook County,American Board of Anesthesiology
Shou-Yien Shirley Huang,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Gregory D. Huhn,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",Tulane University,Duke University,American Board of Internal Medicine certification in Internal Medicine and Infectious Diseases
Lily M Hussein,Internal Medicine,"John H. Stroger, Jr. Hospital",University of Baghdad,Cook County Health & Hospitals,"Medical Oncology, Internal Medicine"
Muhammed Imran,Internal Medicine,"John H. Stroger, Jr. Hospital",Dow Medical College University of Karachi,nil,nil
Sharon A. Irons,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,Henry Ford Hospital,ABIM
Norman M. Jacobs,Pediatric Infectious Diseases,"John H. Stroger, Jr. Hospital","University of Michigan, University of Illinois Chicago","Vanderbilt, Cleveland Metro General Hospital, Detroit Children's Hospital","Pediatrics, Pediatric Infectious Diseases"
