disease,userquery,userquerySyms
Trigger finger,"
The symptoms of trigger finger include:

-A clicking or snapping sensation when you move your finger or thumb
-A feeling of catching or locking when you try to move your finger or thumb
-Pain or tenderness at the base of your finger or thumb
-A bulge or bump (nodule) that you can feel at the base of your affected finger
-Swelling in your palm at the base of your affected finger
-Stiffness in your affected","snapping sensation,feeling,thumb,pain,tenderness,base of your finger,thumb,bulge,bump,nod,base of,affected finger,swelling,palm,base,affected finger,stiff,ness,affected"
Heart palpitations,"
heartbeat that is irregular, too fast, or skips beats, feeling like your heart is pounding or racing, chest pain or discomfort, shortness of breath, lightheadedness or dizziness.","chest,pain,shortness of breath,lightheadedness"
Mouth cancer,"
The symptoms of mouth cancer may vary depending on the size, location, and stage of the cancer. However, common symptoms include:

-A sore or lump in the mouth that does not heal
-A white or red patch on the gums, tongue, or lining of the mouth
-Bleeding in the mouth
-Swelling in the jaw
-Chronic hoarseness or sore throat
-Difficulty swallowing
-Weight loss","mouth,sore,lump,mouth,patch,gum,lining of the mouth,bleeding,mouth,swelling,jaw,hoarseness,sore,throat,weight loss"
Restless legs syndrome,"
There is no one-size-fits-all answer to this question, as the symptoms of restless legs syndrome (RLS) vary from person to person. However, some of the more commonly reported symptoms include an irresistible urge to move the legs (often accompanied by a crawling, tingling, or burning sensation), discomfort or pain in the legs while at rest, and difficulty falling asleep or staying asleep due to the leg sensations. RLS symptoms typically worsen in the evening or at night,","restless legs,r,ls,urge to move,discomfort,pain,legs,asleep,leg,r,ls"
Autoimmune hepatitis,"
Common symptoms of autoimmune hepatitis include fatigue, joint pain, skin rashes, and yellowing of the skin or eyes.","mun,hepatitis,joint,skin,rash,yellowing,skin"
Dysarthria,"
The main symptom of dysarthria is impaired speech. Other symptoms may include:

-slurred or slow speech
-mumbled speech
-difficulty saying certain sounds or words
-hoarseness
-strained or labored speech
-drooling
- facial muscle weakness","d,arth,red,saying certain sounds,hoarseness,strained,ed speech,dr,ool,facial,muscle weakness"
Arthritis,"
There are many different types of arthritis, but the most common symptoms are pain, stiffness, and swelling in the joints.","stiff,swelling"
Hepatitis C,"
The symptoms of hepatitis C can range from mild to severe. The most common symptoms are fever, fatigue, loss of appetite, nausea, vomiting, abdominal pain, dark urine, clay-colored stools, joint pain, and yellowing of the skin and eyes (jaundice).","hepatitis c,loss of appetite,abdominal,joint,yellowing of the skin,eyes,ja,und"
Painful intercourse (dyspareunia),"
-Burning sensation during intercourse
-Aching or throbbing pain in the genital area
-Sharp, stabbing pain in the pelvic area
-Painful urination
-Abnormal vaginal bleeding","pain,gen,ital area,pain,pelvic area,urination,va,ginal,bleeding"
Benign prostatic hyperplasia (BPH),"
- Difficulty urinating
- Weak stream
- Dribbling
- Urinary urgency
- Urinary frequency
- Nocturia",nocturia
Deep vein thrombosis (DVT),"
There are a number of symptoms associated with deep vein thrombosis (DVT), however, not all individuals will experience all of the symptoms. The most common symptom is swelling in the affected leg, typically around the ankle and calf. Other symptoms may include pain or tenderness in the affected leg, redness or discoloration of the skin, warmth in the affected leg, and/or increased skin sensitivity. In some cases, individuals with DVT may also experience shortness of breath","deep vein thrombosis,d,vt,swelling,ankle,pain,tenderness,redness,discoloration,warmth,d,vt,shortness of breath"
Non,"
There are many potential symptoms of non-compliance with medication, but they vary depending on the individual and the medication involved. Some common symptoms that may be associated with non-compliance include:

· Poor clinical outcomes

· Worsening of symptoms

· Increased frequency or severity of flare-ups or episodes

· Increased hospitalizations or emergency room visits

· Adverse drug reactions or side effects

· Drug resistance

· Increased cost of care","symptoms,flare ups,adverse,drug reactions,drug resistance"
Male hypogonadism,"
Symptoms of male hypogonadism can include:

•Fatigue
•Weakness
•Decreased muscle mass
•Decreased bone density
•Depression
•Anxiety
•Irritability
•Reduced libido
•Erectile dysfunction
•Infertility","h,ypogonad,fatigue,weakness,depression,anxiety,ir,ritability,li,o,erectile dysfunction,in,fertility"
Clubfoot,"
A clubfoot is a congenital deformity of the foot where the foot points down and inwards. The most common symptom is a foot that points down and inwards. Other symptoms may include a short leg on the affected side, pain, and difficulty walking.","clubfoot,deformity,foot,foot,foot,short leg"
Microscopic colitis,"
The symptoms of microscopic colitis include watery diarrhea, abdominal pain, and cramping.","tis,abdominal"
COPD,"
-chronic cough
-wheezing
-shortness of breath
-tightness in the chest","cough,heezing,shortness of breath,tightness,chest"
Arteriovenous fistula,"
-presence of a mass or lump
-pain or tenderness at the site
-redness or inflammation of the skin
-bleeding or discharge from the site","mass,lump,pain,tenderness,site,red,inflammation,skin,bleeding,site"
Pancreatic cancer,"
There are a number of possible symptoms of pancreatic cancer, including:

-Jaundice (yellowing of the skin and whites of the eyes)
-Dark urine
-Pale stools
-Upper abdominal pain
-Weight loss
-Loss of appetite
-Depression","ja,undice,yellowing,skin,dark urine,pale stools,upper abdominal,pain,weight loss loss,appetite depression"
Multiple myeloma,"
The most common symptom of multiple myeloma is bone pain. Other symptoms can include:

-Fatigue
-Weight loss
-Frequent infections
-Anemia
-Bleeding or bruising easily
-Weakness","multiple,myeloma,bone,pain,fatigue,weight loss,infections,an,emia,bleeding,br,uising,weakness"
Basal cell carcinoma,"
The most common symptom of basal cell carcinoma is a small, skin-colored bump that appears on the face, ears, neck, or hands. The bump may be pearly or waxy in appearance and may bleed easily.

Other symptoms of basal cell carcinoma can include:

• A flat, scaly area on the skin that may be crusty or flaky

• A red or pink patch of skin

• A sore that doesn't heal and is","basal cell carcinoma,bump,bump,bleed,basal cell carcinoma,skin,crusty,fl,ak,skin,sore"
Moles,"
Some symptoms of moles can include:

* Change in the size, shape, color, or feel of the mole
* itching, bleeding, or pain from the mole
* new moles appearing on the skin
* a mole that looks different from other moles on the body","mole,pain,mole,skin,mole,body"
Anaphylaxis,"
-Swelling of the face, lips, tongue, or throat
-Hives
-Difficulty breathing
-Tightness in the chest
-Dizziness or lightheadedness
-Nausea and vomiting","swelling,throat,hives,difficulty breathing,tightness,chest,di,zziness,lightheadedness,nausea,vomiting"
Bags under eyes,"
-dark circles
-puffiness
-tired appearance","dark circles,puffiness,tired appearance"
Hirschsprung's disease,"
The main symptom of Hirschsprung's disease is constipation, which is often severe. Other symptoms may include vomiting, abdominal pain, bloating, and blood in the stool.","disease,con,abdominal"
Mastitis,"
– 	Breast pain or tenderness
– 	Red, hot, swollen breast
– 	Thickening of breast tissue
– 	A lump in the breast
– 	Flu-like symptoms (fever, chills, body aches)
– 	Nausea and vomiting
– 	Diarrhea","breast,pain,tenderness,breast,thick,breast,lump,breast,flu like symptoms,fever,chills,ache,nausea,vomiting,dia,rrhea"
Hepatitis B,"
There are a number of symptoms associated with hepatitis B, however, it is important to note that not everyone who contracts the virus will experience symptoms. For those that do, symptoms may not appear for several weeks or even months after contracting the virus. Symptoms of hepatitis B include:

-Jaundice (yellowing of the skin and whites of the eyes)
-Dark urine
-Clay-colored stools
-Abdominal pain
-Loss of appetite
-","hepatitis b,symptoms,hepatitis b,ja,und,ice,yellowing,stool,abdominal,pain,loss of appetite"
Jaw tumors and cysts,"
1. A lump or mass in the jaw
2. Pain or discomfort in the jaw
3. Swelling in the jaw
4. Difficulty chewing or opening the mouth
5. Numbness in the face","lump,mass,jaw,pain,discomfort,jaw,swelling,jaw,difficulty chewing,opening the mouth,numbness,face"
Blepharitis,"
Some common symptoms of blepharitis include burning, stinging, itching, irritation, dryness, redness, and flaking of the skin around the eyelids.","b,is,flaking"
Ampullary cancer,"
The symptoms of ampullary cancer can include:

-Jaundice (yellowing of the skin and eyes)
-Dark urine
-Light-colored stools
-Loss of appetite
-Weight loss
-Itchy skin
-Fatigue","ampullary cancer,ja,und,ice,yellow,urine,s,loss of appetite,weight loss,skin,fatigue"
Lupus nephritis,"
Lupus nephritis is a kidney inflammation that occurs as a complication of systemic lupus erythematosus (SLE). Symptoms can include fever, joint pain, swelling, rash, and kidney damage.","lupus nephritis,kidney,inflammation,lupus erythematosus,joint,kidney"
Mesothelioma,"
There are several symptoms of mesothelioma, and they can vary depending on the stage of the disease. Some common symptoms include:

- Shortness of breath
- A persistent cough
- Chest pain
- Abdominal pain
- Unexplained weight loss
- Fatigue
- Swelling in the abdomen or chest","shortness of breath,cough,chest,pain,abdominal,pain,weight loss,fatigue,swelling,abdomen,chest"
Atelectasis,"
-shortness of breath
-wheezing
-chest pain
-coughing up blood
-coughing","shortness of breath,w,heezing,chest,pain,coughing,blood coughing"
Swollen knee,"
There are many potential causes of a swollen knee, but some of the most common causes include:

* Arthritis
* Bursitis
* Gout
* Infection
* Injury
* Tendonitis","swollen,arthritis,bu,rsitis,gout,infection injury,tendonitis"
Hyperparathyroidism,"
The symptoms of hyperparathyroidism vary depending on the severity of the condition. They may include:

-Fatigue
-Depression
-Anxiety
-Headaches
-Muscle weakness
-Bone pain or fractures
-Kidney stones","hyper,parathyroidism,fatigue,depression,anxiety,headache,muscle,weakness,bone,pain,fractures,kidney"
Deviated septum,"
Deviated septum symptoms may include: 
-Nasal obstruction or blockage, which may worsen when you lie down 
-Difficulty breathing through your nose, which may worsen when you exercise 
-Mouth breathing 
-Sleep apnea 
-Chronic sinus infections 
-Recurrent nosebleeds 
-Excess mucus in the back of the throat (postnasal drip) 
-Crusting and inflammation inside","nasal,breathing,mouth breathing,sleep,apnea,sinus,infections,nosebleed,s,back of the throat,crusting,inflammation"
Sprains,"
The symptoms of a sprain include pain, swelling, tenderness, bruising, and difficulty moving the affected joint.","sp,difficulty moving"
Achalasia,"
Achalasia is a rare disorder of the esophagus that makes it difficult to swallow. Symptoms include chest pain, heartburn, and regurgitation. Treatment options include surgery, endoscopy, and medication.","ac,halasia,esophagus,chest"
Calciphylaxis,"
-Thickened, darkened skin
-Necrosis of the skin
-Pain
-Ulcerations
-Gangrene","skin,nec,rosis,skin,pain,ulcerations gangrene"
Chronic hives,"
-Rash that appears and disappears over time
-Itching
-Swelling
-Redness","rash,it,ching,swelling,redness"
Hepatopulmonary syndrome,"
There is no definitive list of symptoms of hepatopulmonary syndrome, as the condition manifests differently in different people. However, some common symptoms include shortness of breath, fatigue, anxiety, and dizziness. Additionally, people with hepatopulmonary syndrome may experience clubbing of the fingers and toes (a condition called digital clubbing), and they may have a bluish tinge to their skin due to low oxygen levels in the blood (called cyanosis).","shortness of breath,he,monary,clubbing,fingers,toes,blu,tinge,skin,cy"
Mitral valve stenosis,"
The symptoms of mitral valve stenosis include fatigue, shortness of breath, chest pain, and dizziness.","mit,shortness of breath,chest"
Aortic valve disease,"
-Angina
-Fatigue
-Shortness of breath
-Lightheadedness or dizziness
-Fainting or near fainting","angina,fatigue,shortness of breath,lightheadedness,di,zziness,fainting,fainting"
Churg,"
The symptoms of Churg vary depending on how severe the condition is. People with mild Churg may not have any symptoms. People with more severe Churg may have shortness of breath, coughing, or wheezing. They may also have weight loss, fatigue, or joint pain.","churg,churg,churg,shortness of breath,joint"
Ewing sarcoma,"
The most common symptom of Ewing sarcoma is pain in the affected bone. Other symptoms can include:

-Swelling or a lump in the affected area
-Fever
-Weight loss
-Fatigue","ewing sarcoma,pain,swelling,lump,area,fever,weight loss,fatigue"
Cutaneous T,"
Cellulitis is a bacterial infection of the skin that occurs when bacteria enter through a break in the skin. Symptoms include redness, swelling, warmth, and pain.","cellulitis,bacterial,infection,skin"
Ischemic colitis,"
There are a variety of symptoms associated with ischemic colitis. They can range from mild to severe, and may include cramping pain in the lower abdomen, bloody diarrhea, fever, and rectal bleeding. In some cases, ischemic colitis can lead to shock or even death.","coli,cr,amp,pain,lower abdomen,rec,tal,colitis,shock"
Abdominal aortic aneurysm,"
The most common symptom of an abdominal aortic aneurysm is a pulsing sensation in the abdomen. Other symptoms may include pain in the abdomen, back, or legs; feeling lightheaded or dizzy; and nausea or vomiting.","abdominal,rti,an,eurysm,pain,lightheaded,nausea"
Diverticulitis,"
Symptoms of diverticulitis may include:

-Abdominal pain, usually in the lower left side, that worsens during coughing, laughing, or straining
-Fever
-Nausea and vomiting
-Change in bowel habits
-Constipation or diarrhea
-Blood in your stool, which may appear red or maroon
-Abdominal cramping and bloating","diverticulitis,abdominal,lower,straining,fever,nausea,vomiting,bow,consti,pation,diarr,hea,abdominal,cr,amping,blo,ating"
Rotator cuff injury,"
The symptoms of a rotator cuff injury may include pain and tenderness in the shoulder, weakness in the arm and shoulder, and a crackling sensation when the shoulder is moved.","cuff,pain,tenderness,weakness,arm,crackling sensation,shoulder"
Cancer,"
-Unexplained weight loss
-Fatigue
-Unexplained fevers or night sweats
-Persistent cough or trouble breathing
-Persistent indigestion or trouble swallowing
-Recurrent diarrhea or constipation
-Bloody stools
-Rectal bleeding
-Jaundice (yellowing of the skin and whites of the eyes)","weight loss,fatigue,fevers,night sweat,cough,trouble breathing,indigestion,trouble,diarrhea,constipation,bloody,rec,tal,ja,undice,yellowing,skin"
Vasovagal syncope,"
-sudden, brief loss of consciousness
-often preceded by lightheadedness, tunnel vision, or nausea
-occurs when the body's blood pressure drops suddenly
-can be triggered by emotional stress, pain, prolonged standing, or exposure to heat","loss of consciousness,nausea"
Hairy cell leukemia,"
Hairy cell leukemia is a rare blood cancer that affects white blood cells. Symptoms may include fatigue, weight loss, fever, night sweats, and easy bruising or bleeding. There is no cure for hairy cell leukemia, but treatment can help manage the symptoms and extend life.","hairy cell leukemia,blood cancer,weight loss,hairy"
Interstitial lung disease,"
The symptoms of interstitial lung disease can vary depending on the individual and the severity of the condition. Many people experience shortness of breath, a persistent cough, and fatigue. Additionally, some people may experience weight loss, joint pain, and clubbing of the fingers or toes.","shortness of breath,weight loss,joint,club,bing"
Achilles tendon rupture,"
There may be a sudden ""pop"" or snapping sound when the tendon ruptures. You may feel pain, swelling, and tenderness in the back of your leg and heel. You may also have trouble flexing your foot and pointing your toes (if the rupture is in the middle part of the tendon). Sometimes the tendon ruptures completely, and sometimes it partially tears.","pop,snapping,tend,pain,tenderness,leg,flexing your foot,your toes,tend,ru"
Arteriosclerosis / atherosclerosis,"
The symptoms of arteriosclerosis / atherosclerosis can include:

-Claudication (pain in the legs with walking)
-Rest pain (pain in the legs at rest)
-Ulcers (sores on the feet or legs that won't heal)
-Gangrene (death of tissue)
-Amputation","arteriosclerosis,at,herosclerosis,cl,audication,pain,legs,pain,pain,legs,ul,cer,sore,feet,legs,gang,death"
Hypertrophic cardiomyopathy,"
The symptoms of hypertrophic cardiomyopathy can vary greatly from person to person. Some people with the condition have no symptoms at all, while others may experience shortness of breath, chest pain, or fainting. In some cases, the symptoms may be severe enough to lead to heart failure.","symptoms,shortness of breath"
Rectovaginal fistula,"
-passage of gas from the vagina
-passage of stool from the vagina
-recurrent vaginal infections
-pain during intercourse
-abnormal uterine bleeding
-infertility","vagina,vagina,va,ginal,infections,pain,uterine,bleeding infertility"
Esthesioneuroblastoma,"
The most common symptom of esthesioneuroblastoma is a mass or lump in the nose. Other symptoms may include:

-Nasal obstruction
-Nasal discharge
-Nosebleeds
-Facial pain or numbness
-Headache
-Loss of sense of smell","est,hesioneurob,lastoma,mass,lump,nasal obstruction,nasal discharge,nosebleeds,facial,pain,numbness,headache,loss of sense of smell"
Neck pain,"
There are many potential causes of neck pain, and symptoms can vary depending on the underlying cause. However, common signs and symptoms of neck pain include:

-Stiffness or decreased range of motion in the neck
-Ache or pain in the neck, shoulders, or arms
-Headache
-Tingling or numbness in the hands or arms
-Muscle spasms
-Fatigue","neck,neck,pain,stiffness,decreased range of motion,neck,ache,pain,neck,shoulders,arms,headache,tingling,numbness,hands,arms,muscle,spa,sms,fatigue"
Neuroendocrine tumors,"
* Unintended weight loss
* Fatigue
* Weakness
* Depression
* Anxiety
* difficulty concentrating
* Carpal tunnel syndrome
* abdominal pain
* diarrhea
* constipation","weight loss fatigue weakness,depression,anxiety difficulty,carpal tunnel syndrome,abdominal,pain,diarrhea,constipation"
Vitamin deficiency anemia,"
-Fatigue
-Weakness
-Pale skin
-Shortness of breath
-Dizziness or lightheadedness
-Irregular heartbeat
-Impaired cognitive function
-Depression","fatigue,weakness,pale,skin,shortness of breath,di,zziness,lightheadedness,irregular heartbeat,impaired cognitive function depression"
Lewy body dementia,"
The main symptom of Lewy body dementia is a progressive decline in cognitive function. Early symptoms may include mild confusion, impaired judgment, and problems with short-term memory. As the disease progresses, symptoms may include hallucinations, delusions, and paralysis.",impaired judgment
Patellar tendinitis,"
Patellar tendinitis is a condition in which the patellar tendon, which connects the kneecap to the shinbone, becomes inflamed and painful. Symptoms of patellar tendinitis may include pain and tenderness in the front of the knee, pain when jumping or running, and swelling in the affected area.","patel,tendinitis,patel,knee,in,fl,amed,patel,pain,tenderness,pain,swelling"
Carcinoid syndrome,"
Carcinoid syndrome refers to a group of symptoms that occur when neuroendocrine cells release too many hormones into the bloodstream. These hormones can affect many different body systems, including the heart, lungs, and digestive system. Symptoms of carcinoid syndrome may include wheezing, shortness of breath, facial flushing, diarrhea, and abdominal pain.","car,cino,car,cino,w,heezing,shortness of breath,facial,abdominal"
Lupus,"
Joint pain, fatigue, rashes, and fever are all symptoms of lupus.","joint,pain,fatigue,rash,fever"
Dry eyes,"
The symptoms of dry eyes include a burning sensation, itching, redness, and a feeling of having something in the eye.",dry eyes
Vaginal atrophy,"
Vaginal atrophy is a medical condition that can result in a thinning and inflammation of the vaginal walls. This can lead to a decrease in lubrication, which can cause pain during sexual intercourse. Other symptoms may include burning, itching, and vaginal dryness.","va,at,rop,hy,thin,inflammation,va,ginal,pain,va,ginal"
Exercise,"
There are many potential side effects of exercise, but the most common are muscle soreness, fatigue, headache, and dehydration.",muscle
Hip fracture,"
The most common symptom of a hip fracture is pain in the hip or groin area. Other symptoms may include:

• Inability to move the leg on the affected side
• Inability to put weight on the affected leg
• Shortening of the leg on the affected side
• Swelling or bruising in the hip or thigh area
• Deformity in the shape of the leg or hip","hip,fracture,pain,hip,groin,inability to move the leg,inability to put weight,leg,shortening,swelling,br,uising,hip,thigh,def,ormity,leg,hip"
Median arcuate ligament syndrome (MALS),"
The most common symptom of MALS is abdominal pain. Other symptoms may include nausea, vomiting, bloating, and diarrhea.","mal,s,abdominal"
Hyperthyroidism,"
The symptoms of hyperthyroidism can vary from mild to severe. They may include anxiety, irritability, trouble sleeping, weight loss, diarrhea, muscle weakness, and an irregular or fast heartbeat.","hyperthyroidism,ir,loss"
ARDS,"
-Coughing
-Shortness of breath
-Rapid breathing
-Fatigue
-Fever
-Muscle aches
-Headache","coughing,shortness of breath,rapid breathing,fatigue,fever,muscle ache,headache"
Cavernous malformations,"
There are many possible symptoms of cavernous malformations, depending on the location and size of the abnormality. Some people may have no symptoms at all. Others may have seizures, headaches, or problems with vision, hearing, or balance. In rare cases, cavernous malformations can cause bleeding in the brain (hemorrhage), which can be life-threatening.","form,symptoms,headache,malformations,bleeding,brain"
Fever,"
Fever is a symptom of many different illnesses, including infections, autoimmune disorders, and cancer. A fever is usually defined as a body temperature that is above the normal range for humans. For most people, this means a temperature of more than 37.5 degrees Celsius (99.5 degrees Fahrenheit).","fever,fever"
Thalassemia,"
Some common symptoms of thalassemia can include fatigue, weakness, pale skin, cold hands and feet, and headaches. More severe cases can lead to an enlarged spleen and liver, bone deformities, and heart problems.","tha,emia,pale,cold,enlarged,sp,leen,bone"
Erectile dysfunction,"
There are a variety of symptoms that can be associated with erectile dysfunction. These may include:

* Difficulty achieving or sustaining an erection
* Reduced sexual desire
* Trouble orgasm during sexual intercourse
* Anorgasmia (the inability to orgasm)
* Pain during sexual intercourse","erectile dysfunction,sexual desire,trouble,orgasm,an,org,asmia,inability to orgasm,pain"
Pulmonary valve stenosis,"
- Shortness of breath
- Chest pain
- Heart murmur
- faintness
- dizziness
- fatigue","shortness of breath,chest,pain,heart murmur,faintness,di,zziness,fatigue"
Popliteal artery aneurysm,"
The most common symptom of a popliteal artery aneurysm is pain in the calf or back of the knee. Other symptoms may include:

* A feeling of heaviness or cramping in the calf
* Swelling in the calf or ankle
* A bulge or lump behind the knee
* Numbness or weakness in the foot or leg
* Coldness in the foot or leg
* changes in skin color (pale, blue, or red)","popliteal artery,an,eurysm,pain,calf,back,knee,heaviness,cr,amping,calf,swelling,calf,ankle,bulge,lump,behind,knee,numbness,weakness,foot,leg,cold,foot,leg,changes"
Hypoplastic left heart syndrome,"
The symptoms of Hypoplastic left heart syndrome (HLHS) can be seen even before birth. They include: 
•	A heart murmur, which is an abnormal sound made by blood flowing through the heart. 
•	Poor blood circulation to the body 
•	Rapid breathing 
•	Poor feeding 
•	Fatigue 
•	Swelling in the legs, abdomen, and/or organs 
If HLHS is not treated","h,yp,oplastic,left heart syndrome,h,l,hs,fatigue,swelling,organs,h,l,hs"
Barrett's esophagus,"
There are often no symptoms of Barrett's esophagus. When symptoms do occur, they may be similar to those experienced in gastroesophageal reflux disease (GERD), such as heartburn, indigestion, and chest pain.","barrett,lux,ge,chest"
Endocarditis,"
There are many potential symptoms of endocarditis, including:

-Fever
-Chills
-Weakness or fatigue
-General malaise
-Night sweats
-Joint pain or muscle aches
-Loss of appetite or weight loss
-Sweating
-Shortness of breath
-Chest pain or pressure
-Palpitations
-Sudden onset of cardiac irregularity (arrhythmia) or heart murmur
-Swell","fever,chills,weakness,fatigue,general,malaise,night sweats,joint,pain,muscle ache,loss of appetite,weight loss,sweating,shortness of breath,chest,pain,pressure palpitations,cardiac irregularity,ar,heart,swell"
Congenital heart defects in children,"
The most common symptom of a congenital heart defect is a heart murmur, which is an abnormal sound made by blood flowing through the heart. Other symptoms may include fatigue, shortness of breath, and swelling in the extremities.","congenital heart defect,shortness of breath,swelling"
Menorrhagia (heavy menstrual bleeding),"
-bleeding that is heavier than normal
-bleeding that lasts longer than 7 days
-need to change sanitary protection more often than every hour
-passing blood clots
-anaemia","bleeding,bleeding,blood clots,anaemia"
Yeast infection (vaginal),"
-itching
-burning
-redness
-swelling
-discharge","it,redness,swelling,discharge"
Asthma,"
The symptoms of asthma can vary from person to person, but the most common symptoms include:

• Shortness of breath
• Wheezing
• Chest tightness or pain
• A cough that won't go away
• Trouble sleeping because of coughing or wheezing
• A whistle sound when you breathe (wheezing)
• Fast breathing","shortness of breath,w,heezing,chest,tightness,pain,cough,trouble,coughing,w,hee,whistle sound"
Sacroiliitis,"
Sacroiliitis is a condition that causes inflammation in the sacroiliac joints. These joints connect the lower spine to the pelvis and are located on either side of the lower back. The sacroiliac joints allow the spine to move and rotate.

Symptoms of sacroiliitis can include pain and stiffness in the lower back and buttocks, pain that radiates down the leg, hip pain, and difficulty walking. The pain may be worse when sitting or standing for","sac,roiliitis,inflammation,sac,roilia,lower spine,pe,lvis,sac,roilia,spine,sac,roiliitis,pain,stiffness,back,pain,hip,pain"
Itchy skin (pruritus),"
The main symptom of itchy skin is a strong urge to scratch. This can lead to skin damage, bleeding, and infection.","chy,skin"
Functional neurologic disorder/conversion disorder,"
The symptoms of functional neurologic disorder, also known as conversion disorder, vary depending on the specific condition. However, some common symptoms include paralysis, blindness, seizures, and loss of sensation.","functional,uro,conversion"
Immune thrombocytopenia (ITP),"
-heavy bleeding from minor cuts or injuries
-easy bruising
-rashes on the skin
-fatigue
-weakness","bleeding,cuts,injuries,rash,skin,fatigue,weakness"
Infectious diseases,"
fever, chills, fatigue, muscle aches, headache, sore throat, nausea, vomiting, diarrhea","ache,sore,throat,nausea,dia,rrhea"
Hurthle cell cancer,"
-A lump or mass in the neck, throat, or thyroid region
-Swelling in the neck
-Hoarseness
-Persistent cough
-Difficulty swallowing
-Enlarged lymph nodes in the neck","lump,mass,neck,throat,thyroid region,swelling,neck,hoarseness,cough,enlarged,l,ymph nodes,neck"
Liver problems,"
Abdominal pain, dark urine, fatigue, jaundice, loss of appetite, nausea, and vomiting.","abdominal,ja,und,loss of appetite"
Mitral valve regurgitation,"
The symptoms of mitral valve regurgitation depend on how severe the condition is. Some people with mild mitral valve regurgitation may not have any symptoms. People with moderate or severe mitral valve regurgitation may develop symptoms such as:

• Shortness of breath
• Fatigue
• Chest pain
• Rapid heartbeat
• Swelling in the legs, ankles, and feet","mit,ral,mitral,itation,mitral valve,itation,shortness of breath,fatigue,chest,pain,swelling,legs,ankles,feet"
Acute kidney failure,"
The most common symptom of acute kidney failure is a sudden decrease in kidney function. Other symptoms may include:

- Fluid retention, which can cause swelling in your legs, ankles, or feet
- Shortness of breath
- Fatigue
- Confusion
- Nausea
- Weakness
- Irritability","kidney failure,swelling,legs,feet,shortness of breath,fatigue,confusion,nausea,weakness,irritability"
Fibromyalgia,"
The main symptoms of fibromyalgia are pain and fatigue. Other symptoms include:

– headaches

– irritable bowel syndrome

– depression

– anxiety

– sleep problems","fi,bro,my,al,gia,pain,fatigue,headache,ir,rita,ble,bowel syndrome,depression,anxiety –,sleep problems"
Anxiety disorders,"
The symptoms of anxiety disorders can vary greatly from person to person. They may include:

• Feeling restless, wound-up, or on-edge
• Being easily fatigued
• Having difficulty concentrating or mind going blank
• Being irritable
• Having muscle tension
• Difficulty sleeping (insomnia)
• Sweating
• Nausea or gastrointestinal upset
•palpitations or accelerated heart rate 
• Shortness of breath 
//dizziness or","anxiety disorders,feeling,restless,up,on edge,fatigued,difficulty,concentrating,mind going blank,ir,ritable,muscle tension,sleeping,sweating,nausea,gas,intestinal,upset,pal,pit,ations,shortness of breath,di,zziness"
Chronic granulomatous disease,"
Some symptoms of chronic granulomatous disease may include:

-Recurring infections
-Inflammation and swelling of lymph nodes
-Fever
-Night sweats
-Weight loss
-Fatigue","granulomatous disease,infections,inflammation,swelling,lymph nodes,fever,night sweats,weight loss,fatigue"
Systemic capillary leak syndrome,"
There is currently no known cure for systemic capillary leak syndrome, and no specific course of treatment. Treatment focuses on managing symptoms and complications.",
Attention,"
There are many symptoms of attention deficit disorder (ADD), but they vary from person to person. The most common symptoms include:

* Difficulty paying attention or concentrating
* Easily distracted
* Difficulty completing tasks or following through on commitments
* Procrastination
* Disorganization
* Forgetfulness
* Restlessness or fidgeting
* Impulsiveness","attention deficit disorder,paying attention,concentrating,disorganization,forgetfulness,restlessness,fi,dgeting impulsiveness"
Shin splints,"
The symptoms of shin splints include pain and tenderness along the inside edge of the shinbone, swelling, and possibly Bruising.","shin,pain,tenderness,shin"
Cellulitis,"
Cellulitis is a bacterial infection of the skin and underlying tissues. The most common symptoms are pain, redness, and swelling of the affected area. Cellulitis can also cause fever, chills, and fatigue.","cell,ulitis,infection,skin,swelling,cellulitis"
Suspicious breast lumps,"
-A change in how the breast or nipple feels
-A change in the appearance of the breast, nipple, or skin on the breast
-A discharge from the nipple
-A new pain in the breast or nipple","breast,breast,from the,pain,breast,nipple"
Adult Still's disease,"
The symptoms of Adult Still's disease include:

-Fever
-Fatigue
-Joint pain and swelling
-Rash
-Muscle pain
-Headache
-Sore throat","still,fever,fatigue,joint,pain,swelling,rash,muscle,pain,headache,sore,throat"
Galactorrhea,"
Galactorrhea is the abnormal production of milk by the mammary glands. This can happen in both men and women, but it is most common in women who are not pregnant or breastfeeding. Galactorrhea can be caused by certain medications, pituitary gland disorders, and kidney or liver failure.","galactorrhea,mma,galactorrhea,kidney"
Hereditary hemorrhagic telangiectasia,"
The symptoms of hereditary hemorrhagic telangiectasia can vary depending on the severity of the condition. Some people with HHT may have no symptoms, while others may experience nosebleeds, gastrointestinal bleeding, or brain hemorrhages.","telangiectasia,hht,nose,gas"
Pancreatitis,"
-Severe abdominal pain
-Weight loss
-Depression
-Anxiety
-Excessive thirst
-Frequent urination
-Fatigue
-Nausea
-Vomiting","abdominal,pain,weight loss,depression,anxiety,thirst,urination,fatigue,nausea,vomiting"
Cardiomyopathy,"
Some symptoms of cardiomyopathy include shortness of breath, chest pain, irregular heartbeats, and fluid retention.","card,pathy,shortness of breath,chest,irregular heartbeat"
