disease,symptoms,specialties
Jaw tumors and cysts,"cy,tooth,cy,broma,xoma","Otolaryngology (ENT)/Head and Neck Surgery,Head and Neck Cancer Center,Oral and Maxillofacial Surgery"
Blepharitis,"blurred vision,watery eyes,crusted eyelashes,flaking,skin,around the eyes,red eyes,eyes,swollen eyelids,eyelids,eye",Ophthalmology
Ampullary cancer,"fever,yellowing,skin,eyes,ja,und,abdominal,pain,vomiting,bleeding,rectum,nausea,-,stool,weight loss","Radiation Oncology,General Surgery,Surgical Oncology and Endocrine Surgery in Arizona,Proton Beam Therapy Program,Oncology (Medical),Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery"
Lupus nephritis,"blood,foam,y,swelling,hands,ankles,feet,blood,urine,high",Nephrology and Hypertension
Mesothelioma,"shortness of breath,lumps of tissue,under the skin on your chest,weight loss,chest,pain,abdominal,swelling,coughing,nausea,abdominal,pain","Radiation Oncology,Pulmonary Medicine,Thoracic Surgery,Oncology (Medical),Lung Cancer Program"
Atelectasis,"cough,breathing,difficulty breathing",Thoracic Surgery
Swollen knee,"knee,skin,kneecap,puff up,knee,knee,bend,straighten,leg",Physical Medicine and Rehabilitation
Hyperparathyroidism,"kidney,vomiting,loss of appetite bone,joint,pain,weak bones,break,os,te,op,oro,weakness,stomach,abdominal,pain,depression,forgetfulness","Surgical Oncology and Endocrine Surgery in Arizona,Surgery,Head and Neck Cancer Center,Endocrine Surgery,Endocrinology"
Deviated septum,"nasal,ob,cted,pain,nose,obstruction,cold,allergies,nasal,noisy,deviated septum,swelling,tissues,noisy breathing",Otolaryngology (ENT)/Head and Neck Surgery
Sprains,"to move,joint,feeling,pop,joint,pain,sp,ankle,swelling,br,uising,rained,ankle,tearing,ankle,joint","Physical Medicine and Rehabilitation,Pediatric Rehabilitation"
Achalasia,"inability to swallow,stuck,throat,heartburn,chest,pain,coughing,pneumonia,weight loss,vomiting","Pediatric Surgery,Gastroenterology and Hepatology,Thoracic Surgery"
Calciphylaxis,"infections,wounds,skin,lumps,sores,skin,stomach,anywhere","Nephrology and Hypertension,Physical Medicine and Rehabilitation,Vascular centers,Pain Medicine,Dermatology"
Chronic hives,"lts,it,chiness,welts,swelling,angioedema,eyes,cheeks,lips,lts,anywhere,recur",Dermatology
Klinefelter syndrome,,"Clinical Genomics,Urology,Endocrinology"
Hepatopulmonary syndrome,"short,blu,ish,tinge,lips,skin,under,spider,angioma,fingertips,round","Liver Transplant Program,Gastroenterology and Hepatology,Transplant Center,Pulmonary Medicine"
Sciatica,,"Physical Medicine and Rehabilitation,Neurology,Pain Rehabilitation Center,Spine Care"
Mitral valve stenosis,"irregular,swollen feet,legs,chest,discomfort,chest,pain,heart murmur,coughing up,blood,di,zziness,fainting sensations,fluid buildup,lungs,shortness of","Transplant Center,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery,Pediatric Cardiology"
Aortic valve disease,"eating enough,rtic,fatigue,short,fainting,di,zziness,chest,pain,tightness,whooshing,swishing heart sound,aortic","Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Churg,"numb,tingling,hands,feet,loss of appetite,weight loss,fatigue,unwell,rash,skin,sores,joint,muscle,pain,abdominal,pain,gastrointestinal,bleeding","Rheumatology,Allergic Diseases"
Ewing sarcoma,"swelling,tenderness,near the,affected area,tiredness,fever,losing weight,bone,pain","Pediatric Hematology/Oncology in Minnesota,Children's Center,Radiation Oncology,Orthopedic Surgery,Oncology (Medical),Cancer Care at Mayo Clinic,Pediatric and Adolescent Medicine"
Cutaneous T,"thick,skin,palms,hands,soles of the feet,skin,redness,body,skin,hair loss,enlarged,l,ymph nodes,lump,skin,skin,skin","Transplant Center,Radiation Oncology,Laboratory Medicine and Pathology,Hematology,Oncology (Medical),Dermatology,Cancer Care at Mayo Clinic,Radiology"
Ischemic colitis,"blood,stool,stool,dia,rrhea,urgency,move,bowels,nausea,tenderness,cr,amp,ing",Colon and Rectal Surgery
Abdominal aortic aneurysm,"back,pain,pain,belly area,side of the belly,abdomen,pulse,the,bellybutton","Vascular centers,Vascular and Endovascular Surgery,Cardiovascular Medicine,Cardiovascular Surgery,Radiology,Aortic Center"
Diverticulitis,"pain,lower left side,abdomen,right side,abdomen,consti,pation,dia,abdominal,nausea","Colon and Rectal Surgery,Gastroenterology and Hepatology,Infectious Diseases,Radiology"
Rotator cuff injury,"arm,weakness,difficult,hair,behind your back,ache,the shoulder,disturb sleep","Physical Medicine and Rehabilitation,Sports Medicine,Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Cancer,"lump,under the skin,fatigue,hoarse,fevers,night sweats,bleeding,bruising,cough,trouble breathing,ind,igestion,discomfort,bladder,sore,muscle,joint,pain","Physical Medicine and Rehabilitation,Merkel Cell Carcinoma Clinic,Pediatric Otolaryngology,Ocular Oncology Program,Peripheral Nerve Clinic,Orthopedic Surgery,Airway Tumors Specialty Group,Neuroimmunology,Radiology,Cancer survivorship clinics,Surgery,Hospital Internal Medicine,Pediatric and Adolescent Medicine,Multifocal Lung Cancer Specialty Group,Shoulder and Elbow Surgery in Rochester,Familial Cancer Program,Comprehensive Skull Base Clinic,Pain Medicine,Pediatric Surgery,CAR-T Cell Therapy Program,Chronic Lymphoproliferative Disorders Group,Gastroenterology and Hepatology,Gynecologic oncology,Bone Marrow Transplant Program,Otolaryngology (ENT)/Head and Neck Surgery,Oral and Maxillofacial Surgery,Hematology,Hospice,Interventional Pulmonology,Stereotactic Body Radiotherapy Specialty Group,Neurology,Thoracic Surgery,Esophageal Clinic,Integrative Medicine and Health,Cancer Care at Mayo Clinic,Pediatric Rehabilitation,Psychiatry and Psychology,Nuclear Medicine Therapy,Oral Cavity Cancer and Reconstruction Clinic in Minnesota,Bone Marrow Transplant Group,Pediatric Urology,High Risk Breast Clinic,Oncology (Medical),Thymoma Specialty Group,Brain Metastases Specialty Group,Head and Neck Cancer Center,Oral and Maxillofacial Oncology and Reconstruction Clinic,Breast Clinic,Anesthesiology and Perioperative Medicine,Clinical Genomics,Pituitary-Gonad-Adrenal PGA Specialty Group,Myeloproliferative Disorders Group,Obstetrics and Gynecology,Glioma Specialty Group,Colon and Rectal Surgery,Ophthalmology,Brain Tumor Program,Transplant Center,Children's Center,Laboratory Medicine and Pathology,Skull Base Tumors Specialty Group,Advanced Thyroid Cancer Multidisciplinary Clinic,Liver Transplant Program,Oropharynx Cancer Clinic in Minnesota,Women's Health,Child and Adolescent Neurology,Pituitary Tumors Specialty Group,Gastrointestinal Neoplasia Clinic,Neurosurgery,Mesothelioma Specialty Group,Meningioma Specialty Group,Plastic and Reconstructive Surgery,Lung Ablation Specialty Group,Nephrology and Hypertension,Radiation Oncology,Cardiovascular Medicine,Pediatric Brain Tumor Clinic,3D Anatomic Modeling Laboratories,Dermatology,Endocrine Surgery,Endocrinology,Urology,Lung Cancer Program,Pancreas Clinic,General Surgery,Myeloma, Amyloidosis, Dysproteinemia Group,Pediatric Hematology/Oncology in Minnesota,Orthopedic Oncology in Minnesota,Pulmonary Medicine,Acute Leukemia/Myelodysplasia Group,Proton Beam Therapy Program,Lymphoma Group,Cardio-Oncology Clinic,Neurofibromatosis Type 2 Clinic"
Angiosarcoma,,"Breast and Melanoma Surgical Oncology,Orthopedic Surgery,Breast Clinic"
Vasovagal syncope,"cl,am,my,sweat,blurred vision,pale,skin,tunnel vision,abnormal movements,dilated pupils,nausea,lightheadedness","Physical Medicine and Rehabilitation,Neurology,Cardiovascular Medicine"
Takayasu's arteritis,,"Neurology,Rheumatology,Vascular centers,Vascular and Endovascular Surgery"
Hairy cell leukemia,"infections,fatigue,fullness,belly,uncomfortable,losing weight,weakness",Hematology
Huntington's disease,,"Physical Medicine and Rehabilitation,Neurology,Children's Center,Clinical Genomics,Neurosurgery,Psychiatry and Psychology,Pediatric and Adolescent Medicine"
Interstitial lung disease,"shortness of breath,dry cough","Transplant Center,Pulmonary Medicine,Thoracic Surgery,Lung Transplant Program ,Cardiac Rehabilitation Program"
Whipple's disease,,"Gastroenterology and Hepatology,Neurology,Endocrinology"
Achilles tendon rupture,"swelling,near the heel,inability to stand on the toes,leg,sound,calf,inability to bend the foot downward,push off,leg","Physical Medicine and Rehabilitation,Sports Medicine"
Arteriosclerosis / atherosclerosis,"at,her,os,clerosis,arteries,symptoms,peripheral,leg,pain,at,her,osclerosis,pain,at,her,osclerosis,kidney,high,at,her,osclerosis,numbness,weakness,arms,difficulty,loss of vision,dr,ooping muscles,is,che,mic,tia,tia","Vascular centers,Cardiovascular Medicine,Cardiovascular Surgery"
Valley fever,,Infectious Diseases
Hypertrophic cardiomyopathy,"chest,pounding,short","Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Cystic fibrosis,,"Otolaryngology (ENT)/Head and Neck Surgery,Transplant Center,Children's Center,Clinical Genomics,Pulmonary Medicine,Thoracic Surgery,Lung Transplant Program ,Gastroenterology and Hepatology,Pediatric and Adolescent Medicine,Endocrinology"
Rectovaginal fistula,"pus,vagina,pain,vaginal,urinary tract,infections,va,ginal discharge,irritation,pain,vu,,,vagina,between,vagina and anus",Obstetrics and Gynecology
Esthesioneuroblastoma,"sense of smell,breathing,nose,nose,eds","Otolaryngology (ENT)/Head and Neck Surgery,Pediatric Hematology/Oncology in Minnesota,Neurology,Children's Center,Radiation Oncology,Laboratory Medicine and Pathology,Neurosurgery,Head and Neck Cancer Center,Oncology (Medical),Radiology,Pediatric and Adolescent Medicine"
Neck pain,"pain,head,to move,head,headache,muscle,tightness,spasms","Physical Medicine and Rehabilitation,Neurology,Pain Medicine,Spine Care,Radiology"
Neuroendocrine tumors,"pain,tumor,lump,under the skin,tired,sha,ess,skin,rash,thirst,diarrhea,di,zziness,skin,flushing","Transplant Center,Nuclear Medicine Therapy,Radiation Oncology,Laboratory Medicine and Pathology,Surgical Oncology and Endocrine Surgery in Arizona,Liver Transplant Program,Oncology (Medical),Cancer Care at Mayo Clinic,Radiology,Lung Cancer Program,Gastroenterology and Hepatology,Endocrine Surgery,Endocrinology"
Vitamin deficiency anemia,"fatigue,shortness of breath,dizziness,irregular heartbeats,weight loss numbness,tingling,hands,feet,muscle weakness,personality changes,un,steady movements,mental confusion,forgetfulness",Hematology
Toe walking,,Pediatric Rehabilitation
Lewy body dementia,"halluc,halluc,inations,lew,body dementia,hallucinate,uc,movement,parkinson ' s disease,slowed movement,rigid,tremor,shuffling walk,di,loss of bladder,spatial,dr,ows,s,di,gan",Neurology
Patellar tendinitis,"patel,tendinitis,pain,patellar,kneecap,patella,shinbone","Physical Medicine and Rehabilitation,Orthopedic Surgery"
Carcinoid syndrome,"flushing,watery,s,abdominal,cr,amps,facial,skin,skin,face,upper,chest,flushing,asthma,signs,w,heezing,shortness of breath,skin",Oncology (Medical)
Hypereosinophilic syndrome,,"Neurology,Hematology,Allergic Diseases,Dermatology,Gastroenterology and Hepatology,Endocrinology"
Lupus,"fever,shortness of breath,rash,face,cheeks,bridge of the nose,rash,body,chest,pain,fatigue,headache,confusion,memory loss,dry eyes,fingers,toes,lu,pus,rash,cheeks,skin,lesions,lu,facial,rash,joint,stiffness,swelling,lupus,facial,rash","Physical Medicine and Rehabilitation,Transplant Center,Rheumatology,Kidney Transplant Program"
Dry eyes,"scratchy,your,eyes,around,your eyes,eyes,eye,red,watery,irritation,dry eyes,blurred vision,eye,fatigue",Ophthalmology
Vaginal atrophy,"vaginal,discomfort,vaginal,dryness,urinary tract,infections,urinary,tightening,vaginal canal,vaginal discharge,urination,bleeding,genital,it,ching","Women's Health,Obstetrics and Gynecology,General Internal Medicine"
Exercise,"shortness of breath,fatigue,activity,coughing,w,hee,zing,chest,tightness,pain",Allergic Diseases
Hip fracture,"inability to put weight,leg,hip,pain,hip,groin,turning,leg,hip,br,uising,swelling,hip,shorter,leg,hip,inability to get up from a fall,to walk",Orthopedic Surgery
Median arcuate ligament syndrome (MALS),"nausea,vomiting,stomach,pain,fear,weight loss,pain,upper,stomach,dia,rr,hea","Physical Medicine and Rehabilitation,Neurology,Vascular centers,Cardiovascular Medicine,Neurosurgery,Cardiovascular Surgery,Radiology,Gastroenterology and Hepatology"
Hyperthyroidism,"nervousness,anxiety,ir,ritability skin,thin,sweating,tremor,trembling,your,hands,fingers,hair,muscle weakness,to heat pounding,heart,changes,menstrual,enlarged,thyroid,swelling,base of your neck,ta","Endocrine Surgery,Endocrinology"
Merkel cell carcinoma,,"Breast and Melanoma Surgical Oncology,Oncology (Medical),Radiation Oncology,Dermatology"
Hammertoe and mallet toe,,Orthopedic Surgery
ARDS,"shortness of breath,labored,confusion,tiredness","Pulmonary Medicine,Critical Care,Extracorporeal Membrane Oxygenation (ECMO) Program,Cardiovascular Surgery"
Radiation enteritis,,"General Surgery,Gastroenterology and Hepatology,Radiology"
Cavernous malformations,"attention,numbness,double vision,headache,weakness,arms,legs,seizures","Neurology,Pediatric Neurosurgery,Neurosurgery"
C. difficile infection,,"Gastroenterology and Hepatology,Infectious Diseases"
Double uterus,,Obstetrics and Gynecology
Bee sting,,Allergic Diseases
Fever,"sweating,chill,shivering,headache,muscle,ache,loss of appetite,general weakness,irritability,dehydration",Infectious Diseases
Thalassemia,"fatigue,urine,facial bone,deformit,ies,abdominal,swelling,growth,weakness","Hematology,Bone Marrow Transplant Program,Transplant Center"
Erectile dysfunction,,"Physical Medicine and Rehabilitation,Neurology,Urology,Men's Health Center,Cardiovascular Medicine,Psychiatry and Psychology,Endocrinology"
Pulmonary valve stenosis,"short,chest,pain,who,oshing sound,fatigue,loss of consciousness","Cardiovascular Medicine,Cardiovascular Surgery"
Popliteal artery aneurysm,"swelling,behind the knee lower leg,pain,sensation,behind the knee knee,pain","Vascular centers,Vascular and Endovascular Surgery"
Hypoplastic left heart syndrome,"lips,gums,cy,anosis,hands,feet,skin,lips,drowsy,inactive","Pediatric Cardiology,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Barrett's esophagus,"heartburn,regurg,itation,stomach,chest,pain,swallowing","Colon and Rectal Surgery,Gastroenterology and Hepatology,Thoracic Surgery"
Endocarditis,"shortness of breath,pain,flat spots,soles,bottom of the feet,palms of the hands,lesions,weight loss,fatigue,whooshing sound,heart,aching,joints,muscles,swelling,legs,belly,bumps,patches,darkened,skin,tips of the fingers,toes,os,spots,the skin,whites of the eyes,inside the mouth,urine,tenderness,the,left rib cage,spleen ),chest,pain,fever,chills,night sweats",Infectious Diseases
Patent foramen ovale,,Pediatric Cardiac Surgery
Congenital heart defects in children,"swelling,belly,around the eyes,shortness of breath,gain,rapid breathing,tiring,swelling,ankles,feet,short of breath,tongue,fingernails,cy,anosis,fainting","Transplant Center,Heart Transplant Program,Children's Center,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery,Pediatric and Adolescent Medicine,Pediatric Cardiology"
Menorrhagia (heavy menstrual bleeding),"tiredness,fatigue,shortness of breath,menstrual flow,stru,bleeding,blood clots",Obstetrics and Gynecology
Yeast infection (vaginal),"it,ching,irritation,vagina,vulva,redness,swelling,vulva,vaginal,pain,soreness,va,ginal,va,ginal discharge,va,ginal,rash",Obstetrics and Gynecology
Asthma,"trouble,sleeping,shortness of breath,coughing,w,heezing,wheezing,asthma,shortness of breath,asthma,irritants,fu,cold,saliva shed,chest,tight,ness,pain,coughing,w,heezing attacks,cold,flu","Pulmonary Medicine,Allergic Diseases,Extracorporeal Membrane Oxygenation (ECMO) Program"
Sacroiliitis,"pain,sac,roiliitis,buttocks,groin,sac,roiliitis,pain","Physical Medicine and Rehabilitation,Orthopedic Surgery"
Itchy skin (pruritus),"spots,blisters,scratch marks",Dermatology
Functional neurologic disorder/conversion disorder,"vision,double vision,blindness,difficulty swallowing,lump in the throat,loss of balance,unresponsiveness,seizures,shaking,loss of consciousness,seizures,inability to speak,ur,red speech hearing problems,deaf,ness,weakness,paralysis,difficulties,memory,concentration,tremors,numbness,loss of the touch sensation",Pediatric Rehabilitation
Immune thrombocytopenia (ITP),"bleeding,skin,spots,pete,lower legs,bleeding from,the gums,nose,petechia,pete,pete,rash,leg,abdomen","Pediatric Surgery,Pediatric Hematology/Oncology in Minnesota,Hematology,Hepatobiliary and Pancreas Surgery"
Infectious diseases,"fever,fatigue,muscle,ache,coughing,diarrhea",Infectious Diseases
Hurthle cell cancer,"lump,below the adam ' s apple,shortness of breath,pain,neck,throat,hoarseness,changes in your voice,swallowing difficulty","Radiation Oncology,Oncology (Medical),Endocrinology"
Liver problems,"color,fatigue,itchy,skin,liver problems,skin,eyes,ja,und,stool,color,swelling,legs,ankles,loss of appetite,bruise,liver,fatty,liver,liver,liver,fatty,hot,nausea,vomiting,liver,problems,abdominal,pain,swelling","Liver Transplant Program,Gastroenterology and Hepatology"
Mitral valve regurgitation,"swollen,feet,ankles,ed,shortness of breath,d,ys,p,pal,heartbeat","Pediatric Cardiology,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Acute kidney failure,"shortness of breath,fatigue,swelling,ankles,feet,confusion,irregular heartbeat,seizures,coma,nausea,chest,pain,pressure weakness","Nephrology and Hypertension,Transplant Center,Kidney Transplant Program"
Fibromyalgia,"pain,fi,bromyalgia,ache,pain,both sides of,body,fibromyalgia,fi,bromyalgia,legs,sleep,om,fi,bro fog","Physical Medicine and Rehabilitation,Pain Rehabilitation Center,Pediatric Rehabilitation"
Anxiety disorders,"increased,heart rate,ago,raphob,ia,anxiety,fear,panic,panic,doom,anxiety,consciousness,mutism,trouble,concentrating,worry,anxiety,fear,terror,panic,anxiety,anxiety,panic,gi,problems,weak,tired,sweating,anxiety,panic,ph,ias,anxiety,ph,ob,ias,panic attacks,restless,trembling,anxiety disorder,anxiety,worry,anxiety disorders,anxiety,unspecified anxiety disorder,anxiety,ph,ob,ias","Psychiatry and Psychology Services,Psychiatry and Psychology"
Chronic granulomatous disease,"fever,skin,irritation,swelling,redness,gas,trointestinal problems,dia,bloody stool,pus,near the anus,swelling,redness,mouth,chest,pain,run,nose,swollen,sore,l,ym,ph glands","Children's Center,Clinical Genomics,Pulmonary Medicine,Allergic Diseases,Primary Immunodeficiency Center in Minnesota,Pediatric and Adolescent Medicine"
Systemic capillary leak syndrome,"fatigue,muscle ache,thirst,nausea,irritability,abdominal,pain",Hematology
Attention,"hyperactive,imp","Children's Center,Psychiatry and Psychology,Pediatric and Adolescent Medicine"
Shin splints,"shin,tenderness,soreness,pain,inner side of your,shinbone,swelling,lower leg,pain,pain,stress",Physical Medicine and Rehabilitation
Cellulitis,"fever,b,listers,pain,skin,dim,spots,tenderness,swelling,irritated,area,skin,chills","Infectious Diseases,Dermatology"
Suspicious breast lumps,"lump,under,skin,breast,lump,breast,lump,skin,redness,changes in,breast,fluid,leaking,your,nipple","Clinical Genomics,Plastic and Reconstructive Surgery,Radiation Oncology,Laboratory Medicine and Pathology,General Surgery,Oncology (Medical),Breast Clinic,Radiology,Breast and Melanoma Surgical Oncology,Psychiatry and Psychology"
Alzheimer's disease,,"Physical Medicine and Rehabilitation,Neurology,Psychiatry and Psychology"
Adult Still's disease,"muscle,pain,muscular,pain,pain,rash,rash,trunk,arms,hy,swollen,joints,knees,wrists,ankles,elbows,hands,shoulders,joint,discomfort,sore,l,ym,neck,swollen,fever,fever,fever",Physical Medicine and Rehabilitation
Goiter,,"Endocrine Surgery,Endocrinology"
Galactorrhea,"breasts,affected,milk,ducts,headaches,vision,problems","Breast and Melanoma Surgical Oncology,Endocrinology"
Sleep disorders,,"Otolaryngology (ENT)/Head and Neck Surgery,Neurology,Children's Center,Pulmonary Medicine,Oral and Maxillofacial Surgery,Pediatric Sleep Medicine in Minnesota,Dental Specialties,Psychiatry and Psychology,Pediatric and Adolescent Medicine,Sleep Medicine"
Hereditary hemorrhagic telangiectasia,"shortness of breath,iron deficiency,anemia,lips,face,,fingertips,,tongue,inside surfaces of the mouth,nosebleed,headaches,seizures","Otolaryngology (ENT)/Head and Neck Surgery,Neurology,Clinical Genomics,Pulmonary Medicine,Cardiovascular Medicine,Neurosurgery,Radiology,Gastroenterology and Hepatology"
Pancreatitis,"fever,tenderness,abdomen,smelly stools,ste,vomiting,weight,abdominal,pain,back,abdominal,pain,nausea,abdominal,pain","Pancreas Clinic,Pain Medicine,Surgery,Radiology,Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery"
Cardiomyopathy,"lightheadedness,fainting difficulty,swelling,ankles,feet,fatigue,cough,breathlessness,activity,blo,ating,abdomen,fluid buildup,chest,discomfort,pressure","Transplant Center,Heart Transplant Program,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery,Extracorporeal Membrane Oxygenation (ECMO) Program"
Hirsutism,"acne,deep,balding,mass,en,largement,clitoris","Obstetrics and Gynecology,Endocrinology"
Mitral valve prolapse,"irregular heartbeat,di,zziness,lightheadedness,shortness of,fatigue","Cardiovascular Medicine,Cardiovascular Surgery"
Alcoholic hepatitis,"nausea,vomiting,confusion,behavior changes,toxins,liver,fluid,abdomen,as,cite,fatigue,weakness,loss of appetite,abdominal,tenderness,kidney,liver,failure","Liver Transplant Program,Gastroenterology and Hepatology,Transplant Center"
Thyroid cancer,"thyroid,swollen,l,ymph nodes,neck,pain,neck,throat,lump,nod,skin,your,neck,thyroid,neck,below the adam ' s apple,hoarseness,thyroid","Otolaryngology (ENT)/Head and Neck Surgery,Nuclear Medicine Therapy,Radiation Oncology,Surgical Oncology and Endocrine Surgery in Arizona,Surgery,Head and Neck Cancer Center,Oncology (Medical),Cancer Care at Mayo Clinic,Radiology,Endocrine Surgery,Endocrinology"
Hodgkin's lymphoma (Hodgkin's disease),"fever,swollen,l,ymph nodes,swollen,l,ym,nodes,swollen,l,ym,ph nodes,below the lower jaw,it,ching,fatigue,weight,swollen,lymph nodes,pain,l,ymph nodes,swelling,l,ym,nodes,neck,armpits,groin,night sweats","Transplant Center,Pediatric Hematology/Oncology in Minnesota,Radiation Oncology,Hematology,Proton Beam Therapy Program,Bone Marrow Transplant Program,Oncology (Medical),Cancer Care at Mayo Clinic"
Spina bifida,"sac,symptoms,spinal,spinal,skin marks,spinal,spinal,membranes,spinal,spinal,back","Physical Medicine and Rehabilitation,Neurology,Children's Center,Orthopedic Surgery,Pediatric Neurosurgery,Pediatric Urology,Urology,Obstetrics and Gynecology,Fetal and maternal care in Minnesota,Neurosurgery,Pediatric Rehabilitation,Pediatric and Adolescent Medicine"
Granulomatosis with polyangiitis,"fever,numbness,fingers or toes,weight loss,burning,vision problems,fatigue,skin,bruising,rashes,joint,pain,phlegm,pu,crust,sin,us,infections,nose,bleeds,blood,urine,shortness of breath,hee,zing,ear,inflammation,hearing,problems","Nephrology and Hypertension,Rheumatology,Pulmonary Medicine"
Adenomyosis,"menstrual,bleeding,d,ys,par,eu,pe,lvic,pain,pelvic,pain,d,ys",Obstetrics and Gynecology
Lymphoma,"fever,swollen,l,ym,ph nodes,shortness of breath,swollen,l,nodes,swollen,lymph nodes,below,lower jaw,weight loss,itchy,skin,fatigue,swollen,l,ym,nodes,swelling,lymph nodes,neck,armpits,groin,night sweats","Transplant Center,Pediatric Hematology/Oncology in Minnesota,Nuclear Medicine Therapy,Radiation Oncology,Laboratory Medicine and Pathology,Hematology,Proton Beam Therapy Program,Bone Marrow Transplant Program,Dermatology,Cancer Care at Mayo Clinic,Oncology (Medical)"
Spontaneous coronary artery dissection (SCAD),"tiredness,shortness of breath,sweating,chest,pain,rapid,fluttery feeling,chest,di,zziness,nausea,pain,shoulders,back,jaw","Vascular centers,Clinical Genomics,Cardiovascular Medicine,Cardiovascular Surgery"
Kidney cancer,"fever,pain,back,side,weight loss,loss of appetite,tiredness","Radiation Oncology,Oncology (Medical),Urology,Radiology"
Back pain,,"Physical Medicine and Rehabilitation,Neurology,Pain Medicine,Spine Care,Radiology,Pediatric Rehabilitation,Pain Rehabilitation Center"
Pink eye (conjunctivitis),"redness,one,both eyes,it,chiness,one,both eyes,gritty feeling,eyes,discharge,one,both eyes,eye,eyes,opening,tearing","Ophthalmology,Allergic Diseases"
Hydrocele,,Pediatric Surgery
Baker cyst,"stiffness,inability to fully,knee,swelling,leg,knee,pain",Physical Medicine and Rehabilitation
Nasal and paranasal tumors,"breathing,nose,watery eyes,sore,lesion,roof of your mouth vision,problems,lump,neck,opening,mouth,discharge,nose,nose,bleeds,loss,sense of,facial,swelling,pain","Otolaryngology (ENT)/Head and Neck Surgery,Children's Center,Radiation Oncology,Neurosurgery,Proton Beam Therapy Program,Head and Neck Cancer Center,Pediatric and Adolescent Medicine,Oncology (Medical),Cancer Care at Mayo Clinic,Brain Tumor Program"
Cervical spondylosis,"numbness,weakness,hands,legs,feet,loss of bladder,lack of,coordination,difficulty walking","Physical Medicine and Rehabilitation,Neurology,Spine Care"
Rosacea,"rhino,rosacea,nose,rosacea,swollen,eye symptoms,rosacea,nose,rhino,phyma,blushing,flushing,rosacea,blushing,flushing,nose,cheeks,skin,swollen,rosacea,pimples,face,ac,bumps","Center for Aesthetic Medicine & Surgery in Rochester,Cosmetic Center in Arizona,Dermatology"
Myelofibrosis,"fever,weak,short,an,emia,pain,fullness,below your ribs,enlarged,spleen,bleeding,bone,pain,sweating","Transplant Center,Radiation Oncology,Hematology,Bone Marrow Transplant Program,Oncology (Medical),Cancer Care at Mayo Clinic,Radiology"
Pseudotumor cerebri (idiopathic intracranial hypertension),"headaches,behind your eyes,who,oshing sound,head,shoulder,back,pain,one,both eyes,vomiting,di,zziness,vision loss,difficulty",Neurology
Food allergy,"tingling,it,ching,mouth,nasal congestion,trouble breathing,it,ching,eczema,abdominal,diarr,nausea,vomiting,lightheadedness,faint,swelling,lips,face,tongue,throat,parts,the body",Allergic Diseases
Wilms' tumor,"fever,shortness of breath,abdominal,mass,loss of appetite,abdominal,swelling,high,pressure,abdominal,pain,consti,pation,nausea,vomiting","Pediatric Hematology/Oncology in Minnesota,Children's Center,Radiation Oncology,Urology,Pediatric Urology,Pediatric Surgery,Pediatric and Adolescent Medicine"
Essential thrombocythemia,"chest,pain,headache,bleeding,your mouth,gums,bloody,stool,nosebleeds,faint,numbness,tingling,hands,feet,pain,hands,feet,di,zziness,lightheadedness",Hematology
Entropion,"eye,irritation,pain,mucous discharge,eyelid,crust,ing,eye,red,eye,watery eyes,tearing",Ophthalmology
Acute myelogenous leukemia,"fever,shortness of breath,lethargy,fatigue,infections,skin,bone,pain,nose,bleeding,from the gums","Transplant Center,Hematology,Bone Marrow Transplant Program,Oncology (Medical),Cancer Care at Mayo Clinic"
Brachial plexus injury,"spine,nerve,spinal,nerve injury,avulsion,nerve,spinal,injuries,stretching,nerve fibers,ru,pt,ure,nerve,nerve damage,nerve damage","Physical Medicine and Rehabilitation,Shoulder and Elbow Surgery in Rochester,Neurology,Orthopedic Surgery,Pediatric Neurosurgery,Cleft and Craniofacial Clinic,Neurosurgery,Pediatric Rehabilitation,Peripheral Nerve Clinic"
Vesicoureteral reflux,"fever,fever,lack of,appetite,irritability,pain,your,side,abdomen,constipation,loss of control over bowel,cloudy,blood pressure,burning sensation,urge","Transplant Center,Children's Center,Urology,Pediatric Urology,Kidney Transplant Program,Pediatric and Adolescent Medicine"
Heart failure,"heart failure,heart,blood,backs up,fluid,build up,lungs,legs,fluid buildup,shortness of breath,swelling,legs,skin,blue,heart failure,heart failure,swelling,legs,ankles,feet,cough,w,hee,zing,heart failure,swelling,belly area,abdomen,alertness,weight gain,fluid buildup,fatigue,weakness,chest,pain,heart failure,heart,attack,nausea,lack of appetite,shortness of breath","Transplant Center,Heart Transplant Program,Children's Center,Critical Care,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery,Pediatric and Adolescent Medicine,Pediatric Cardiology"
